id.int64()	email.string()	first_name.string()	last_name.string()	plan.string()	source.string()	seats.int32()	created_at.date(2006-03-02 15:04:05.99999999)	trial_ends_at.date(2006-03-02 15:04:05.99999999)	canceled_at.date(2006-03-02 15:04:05.99999999)	trial_converted.boolean()	active_subscription.boolean()	legacy_plan.boolean()	latitude.double()	longitude.double()	country.string()
1	kub.macy@gmail.example	Macy	Kub	Basic	Facebook	32	2020-09-15 16:11:50	2020-09-30 12:00:00		true	true	false	24.53256	81.29234	IN
2	kim-cormier@hotmail.example	Kim	Cormier	Basic		1	2020-09-18 08:36:00	2020-10-02 12:00:00	2020-10-02 00:00:33	false	false	false	41.29177	-72.3762	US
3	princess-tillman@yahoo.example	Princess	Tillman	Basic	Twitter	1	2020-09-18 16:12:48	2020-10-03 12:00:00	2020-10-02 20:00:14	false	false	false	41.64172	-85.41665	US
4	pfannerstill-jeramie@yahoo.example	Jeramie	Pfannerstill	Basic	Twitter	3	2020-09-22 03:12:17	2020-10-06 12:00:00	2020-10-05 20:00:16	false	false	false	47.80864	0.91499	FR
5	johnston.clay@gmail.example	Clay	Johnston	Basic	Facebook	1	2020-09-23 16:43:02	2020-10-08 12:00:00	2020-11-07 20:00:11	true	false	false	10.2548	122.9983	PH
6	magnus.carroll@yahoo.example	Magnus	Carroll	Basic		1	2020-09-23 22:02:49	2020-10-08 12:00:00	2020-10-07 20:00:17	false	false	false	28.24196	-81.56674	US
7	conner.o.mekhi@hotmail.example	Mekhi	O'Conner	Basic	Google	19	2020-09-24 14:59:30	2020-10-09 12:00:00		true	true	false	10.51596	123.3085	PH
8	prince-schowalter@hotmail.example	Prince	Schowalter	Basic		8	2020-09-24 19:32:16	2020-10-09 12:00:00	2021-11-03 20:00:09	true	false	false	44.35382	10.62375	IT
9	johns-mikel@gmail.example	Mikel	Johns	Premium		1	2020-09-26 17:51:58	2020-10-11 12:00:00	2020-10-12 20:00:20	false	false	false	27.13033	-80.89367	US
10	elijah-rohan@gmail.example	Elijah	Rohan	Basic	Invite	5	2020-09-28 22:49:34	2020-10-28 01:31:08	2020-11-27 20:00:17	true	false	false	39.79949	18.35815	IT
11	leannon-clay@gmail.example	Clay	Leannon	Basic	Twitter	8	2020-09-29 03:34:24	2020-10-13 12:00:00		true	true	false	-2.85	33.08333	TZ
12	brennan-olson@hotmail.example	Brennan	Olson	Basic	Google	5	2020-10-01 11:10:36	2020-10-15 12:00:00	2020-10-14 20:00:30	false	false	false	23.28865	71.91854	IN
13	reinger.jude@yahoo.example	Jude	Reinger	Basic		1	2020-10-01 14:05:30	2020-10-16 12:00:00	2020-10-01 15:43:40	false	false	false	17.7	83.21667	IN
14	connell.lisette.o@yahoo.example	Lisette	O'Connell	Basic	Facebook	85	2020-10-01 21:33:52	2020-10-16 12:00:00		true	true	false	46.6	24.65	RO
15	feeney-manuel@yahoo.example	Manuel	Feeney	Basic	Invite	1	2020-10-05 15:50:37	2020-10-20 12:00:00	2020-11-19 20:00:21	true	false	false	-21.50287	-44.16154	BR
16	dayne.strosin@hotmail.example	Dayne	Strosin	Basic		1	2020-10-06 05:53:39	2020-10-20 12:00:00	2020-10-31 13:01:33	false	false	false	18.02926	-77.1854	JM
17	benjamin.collier@hotmail.example	Benjamin	Collier	Basic		8	2020-10-06 15:07:09	2020-10-21 12:00:00	2022-04-22 10:46:58	true	false	false	45.59587	9.07574	IT
18	johnathan-kris@hotmail.example	Johnathan	Kris	Basic	Facebook	3	2020-10-08 13:07:20	2020-10-23 12:00:00	2020-10-22 20:00:34	false	false	false	31.639	77.34055	IN
19	una.williamson@hotmail.example	Una	Williamson	Basic	Twitter	3	2020-10-14 11:55:58	2020-10-28 12:00:00	2020-10-27 20:00:42	false	false	false	19.67638889	-103.25	MX
20	jennyfer-gislason@hotmail.example	Jennyfer	Gislason	Basic	Facebook	12	2020-10-15 23:18:14	2020-10-30 12:00:00	2020-11-10 13:00:56	false	false	false	38.71666667	-9.13444444	PT
21	bernier.randi@gmail.example	Randi	Bernier	Basic	Facebook	3	2020-10-16 20:32:06	2020-10-31 12:00:00	2020-10-30 20:00:51	false	false	false	49.91222	9.13694	DE
22	renner.janis@hotmail.example	Janis	Renner	Basic	Google	3	2020-10-19 18:58:01	2020-11-03 12:00:00	2020-11-02 20:00:45	false	false	false	45.89393	3.09512	FR
23	alanis.kovacek@yahoo.example	Alanis	Kovacek	Premium	Facebook	16	2020-10-22 13:25:12	2020-11-06 12:00:00	2020-11-05 20:00:46	false	false	false	38.03183	13.44795	IT
24	greyson.boyle@gmail.example	Greyson	Boyle	Basic	Google	3	2020-10-22 13:41:39	2020-11-06 12:00:00	2020-11-05 20:00:47	false	false	false	47.41911	26.8979	RO
25	deontae.hansen@hotmail.example	Deontae	Hansen	Basic	Invite	5	2020-10-26 16:10:26	2020-11-10 12:00:00	2020-12-09 20:00:32	true	false	false	51.0479	0.51095	GB
26	heaney.hayley@hotmail.example	Hayley	Heaney	Basic	Twitter	3	2020-10-29 08:44:10	2020-11-12 12:00:00	2020-12-11 20:00:31	true	false	false	43.86083	21.40778	RS
27	reinger.paula@hotmail.example	Paula	Reinger	Basic	Google	25	2020-10-31 13:51:32	2020-11-15 12:00:00		true	true	false	46.606373	24.737173	RO
28	rau.arnaldo@hotmail.example	Arnaldo	Rau	Basic	Google	120	2020-11-02 06:16:45	2020-11-16 12:00:00		true	true	false	46.263403	24.34119	RO
29	emanuel.schmeler@yahoo.example	Emanuel	Schmeler	Basic	Facebook	5	2020-11-02 10:30:49	2020-11-16 12:00:00	2020-11-15 20:00:53	false	false	false	13.77746	-60.90493	LC
30	kihn.alfred@yahoo.example	Alfred	Kihn	Basic		3	2020-11-03 11:09:05	2020-11-17 12:00:00	2020-12-17 18:20:35	true	false	false	34.7994	47.8694	IR
31	cronin-cassidy@gmail.example	Cassidy	Cronin	Basic	Google	8	2020-11-04 10:01:52	2020-11-18 12:00:00	2020-11-17 20:00:57	false	false	false	48.07086	1.33783	FR
32	kihn-kirsten@yahoo.example	Kirsten	Kihn	Basic	Invite	23	2020-11-04 14:48:32	2020-11-19 12:00:00		true	true	false	9.82861	118.73194	PH
33	wehner-jaunita@yahoo.example	Jaunita	Wehner	Basic	Google	3	2020-11-05 21:06:26	2020-11-20 12:00:00	2021-06-19 20:02:30	true	false	false	9.9085	123.0896	PH
34	raynor-florence@hotmail.example	Florence	Raynor	Basic	Google	5	2020-11-07 02:39:22	2020-11-21 12:00:00	2021-01-20 20:00:44	true	false	false	50.05204	28.11745	UA
35	rau.jettie@yahoo.example	Jettie	Rau	Basic		3	2020-11-11 15:40:47	2020-11-26 12:00:00	2020-11-25 20:01:13	false	false	false	-23.33933	150.50493	AU
36	bernhard.bailey@yahoo.example	Bernhard	Bailey	Basic	Twitter	5	2020-11-12 20:27:25	2020-11-27 12:00:00	2020-11-26 20:01:06	false	false	false	41.02343	-74.06653	US
37	conn-gideon@yahoo.example	Gideon	Conn	Basic	Twitter	3	2020-11-13 22:39:06	2020-11-28 12:00:00	2022-04-04 13:07:41	true	false	false	43.06636	-92.67241	US
38	kuhn-marcelina@gmail.example	Marcelina	Kuhn	Basic	Facebook	21	2020-11-17 18:52:35	2020-12-02 12:00:00		true	true	false	43.86667	24.45	RO
39	johns-myrtle@yahoo.example	Myrtle	Johns	Basic	Facebook	30	2020-11-18 14:04:14	2020-12-03 12:00:00		true	true	false	57.70039	11.76136	SE
40	marjory.bogisich@yahoo.example	Marjory	Bogisich	Basic	Twitter	5	2020-11-18 17:10:22	2020-12-03 12:00:00	2020-12-02 20:01:08	false	false	false	-22.00732	-46.12468	BR
41	floyd.jacobson@gmail.example	Floyd	Jacobson	Basic		3	2020-11-19 19:28:38	2020-12-04 12:00:00	2020-12-15 13:02:36	false	false	false	46.46667	27.25	RO
42	gunner.graham@gmail.example	Gunner	Graham	Basic	Google	49	2020-11-23 01:33:58	2020-12-07 12:00:00		true	true	false	15.45695	-92.27987	MX
43	grant.antwan@hotmail.example	Antwan	Grantrue	Basic	Invite	3	2020-11-24 13:55:27	2020-12-09 12:00:00	2020-12-08 20:01:09	false	false	false	52.80178	18.0853	PL
44	ryan-o-keefe@gmail.example	Ryan	O'Keefe	Basic		52	2020-11-26 15:01:26	2020-12-11 12:00:00		true	true	false	46.2068	-119.76892	US
45	leanne-orn@gmail.example	Leanne	Orn	Basic	Invite	3	2020-11-26 20:34:23	2020-12-11 12:00:00	2020-12-22 13:02:06	false	false	false	51.73187	20.85154	PL
46	bednar-maeve@hotmail.example	Maeve	Bednar	Basic	Facebook	8	2020-11-30 18:11:54	2020-12-15 12:00:00		true	true	false	19.75	74.63333333	IN
47	brant.klein@yahoo.example	Brantrue	Klein	Basic	Google	3	2020-12-01 07:26:57	2020-12-15 12:00:00	2020-12-15 00:37:12	false	false	false	14	-86.43333	HN
48	jannie-balistreri@yahoo.example	Jannie	Balistreri	Basic	Google	16	2020-12-01 17:30:54	2020-12-16 12:00:00	2020-12-15 20:01:14	false	false	false	46.67453	-0.14912	FR
49	donny.terry@yahoo.example	Donny	Terry	Basic	Twitter	3	2020-12-02 08:14:07	2020-12-16 12:00:00	2020-12-15 20:01:15	false	false	false	47.55707	20.71949	HU
50	crona.neal@hotmail.example	Neal	Crona	Basic		3	2020-12-02 15:09:24	2020-12-17 12:00:00	2020-12-16 20:01:14	false	false	false	46.28891	27.49249	RO
51	kihn-prudence@gmail.example	Prudence	Kihn	Basic		1	2020-12-02 16:32:48	2020-12-17 12:00:00	2020-12-16 20:01:15	false	false	false	43.93487	28.53132	RO
52	spencer.solon@yahoo.example	Solon	Spencer	Premium	Facebook	16	2020-12-03 10:54:56	2020-12-17 12:00:00	2020-12-28 13:00:58	false	false	false	45.07982	25.38219	RO
