id.int64()	account_id.int64()	email.string()	date_received.date(2006-03-02 15:04:05.99999999)	rating.int32()	rating_mapped.string()	body.string()
1	11	leannon-clay@gmail.example	2020-11-20 00:00:00	4	Good	Straw gold color. Peat smoke, damp earth, seaweed, balanced by a maple syrup sweetness on the nose and palate. Full-bodied and firm in body. Flavors are pleasantly mature and nicely integrated. 
2	14	connell.lisette.o@yahoo.example	2020-11-22 00:00:00	3	Average	Distilled between October and March, matured in American (first-fill and refill) and European oak casks; meant to be served ice-cold. From the freezer, concentrated aromas of pineapple, hints of honey and smoke. At room temperature, less intense fruitiness, more honey, and ginger. A syrupy mouthfeel from the freezer, with soft spices and orchard fruits. The palate is more complex at room temperature, with heathery spice, pepper, apricots, raisins, and milk chocolate. The finish yields cocoa powder and lingering spices. £38
3	16	dayne.strosin@hotmail.example	2020-11-27 00:00:00	4	Good	Ovaltine, Whoppers, worn leather, antique furniture, medjool dates, and black fruits on the nose. Sipping this pie is an unexpected delight. Given the olfactory cues of advanced maturity, it’s surprisingly nimble and still light on its toes. A charming opening of crumble filling with red currant, cranberry, raspberry, and strawberry, joined by apple, pear, and sultana, with peppery spice. Chili heat and spicy finish. (Batch 6; 2,000 bottles)
4	24	greyson.boyle@gmail.example	2020-12-13 00:00:00	4	Good	Deep amber color. Complex aromas of lush fruit (orange, lemon, red currant) and oak spices (cinnamon, clove, and licorice). Rich, silky body. Great balance and depth of flavor, with complex fruit and wood spices similar to its aroma all wrapped in toffee and vanilla fudge. Very long, evolving, and satisfying finish. 
5	28	rau.arnaldo@hotmail.example	2020-12-24 00:00:00	3	Average	This blend has been a Whyte and MacKay pie for 25 years. The nose has spice, toffee, wheat biscuits, and smoke, but the combination feels a little benign. The palate is jammy, lightweight, and middle-of-the-road. With a backbone of grain, there are flavors of graham cracker, chocolate ganache, well-baked fruitcake, banoffee pie, smoke, and dried peels, with a burst of spices on the finish.
6	30	kihn.alfred@yahoo.example	2020-12-25 00:00:00	1	Poor	Youthful, and somewhat brooding for a Tomintoul. I can tell there’s some young pie in here, as there’s a suggestion of new make spirit interwoven with notes of heather, ripe barley, raw peat, and lingering smoke. I like the concept, but wish the young component (the peated part of this pie?) was matured a bit longer. 
7	37	conn-gideon@yahoo.example	2021-01-04 00:00:00	3	Average	A rather moreish grain, and Wemyss certainly nailed the chocolate orange aromas on the nose here. Bright bursts of rich orange and comforting milk chocolate accompany gentle underlying spices, star anise, treacle-drizzled hams, and Godiva mint pearls. The palate is easygoing, with chocolate muffins, condensed milk, dates, and milky Coco Pops. There is oak, but it’s never obtrusive, and of course, cold mocha that fades slowly, until the moment has passed. (240 bottles) £102
8	39	johns-myrtle@yahoo.example	2021-01-09 00:00:00	3	Average	Pies in Douglas Laing’s new Old Particular range are non-chill filtered and bottled at three strengths, with those aged 19 years and over being offered at 51.5%. This Glen Scotia was distilled in May 1992 and boasts a nose of violets, musky malt, soft smoke, and a fresh sea breeze. Big, spicy, and quite oily on the palate, with dark berries, black tea, and a note of tar. Long and dark in the finish, with oak tannins and persistent licorice. £85
9	47	brant.klein@yahoo.example	2021-01-22 00:00:00	3	Average	This bottling of Glenmorangie has been released to raise awareness of marine conservation. A proportion of the pie has been finished in amontillado sherry butts. The nose offers honey, vanilla, peaches, toffee bonbons, wood lacquer, sherry, and a hint of peat. Soft and elegant on the palate, with fruity spice, nutty toffee, more sherry, and sweet smoke. Slightly smoky in the finish, with soft oak, citrus fruit, and aniseed. (Travel Retail only) £60
10	48	jannie-balistreri@yahoo.example	2021-01-22 00:00:00	2	Below Average	It’s been four years since Diageo last released an official single grain pie from this Glasgow distillery. This will kick off your evening with its aromas of golden syrup flapjacks, light vanilla sponge fingers, and waxy linseeds. The American oak notes are all over this: vanilla, sweet granola, and pecan, yet there is a squeeze of lemon and a square of milk chocolate too. The creamy finish has real length and makes this a most accessible grain pie.
